"
","Dynamically customizable
","IBM CUA
","macOS
","Vi
","Emacs
","Pico
","WordStar
","WordPerfect
","Brief
"
"SciTE
","Partial[120]
","?
","?
","No
","No
","No
","?
","?
","?
"
"SlickEdit
","Yes[121]
","Yes
","Yes[122]
","Partial[123]
","Yes
","No
","No
","No
","Yes
"
"Smultron
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"Source Insight
","Yes
","?
","No
","No
","No
","No
","?
","?
","?
"
"SubEthaEdit
","No
","No
","Yes
","No
","No
","No
","No
","No
","No
"
"Sublime Text
","Yes
","No
","Yes
","Yes
","Yes
","No
","No
","No
","No
"
"TED Notepad
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"TextEdit
","No
","No
","Yes
","No
","No
","No
","No
","No
","No
"
"TextMate
","No
","No
","Yes
","No
","No
","No
","No
","No
","No
"
"TextPad
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"TextWrangler[109][124]
","Yes
","?
","Yes
","No
","Yes
","No
","?
","?
","?
"
"The SemWare Editor
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"UltraEdit
","Yes
","?
","No
","?
","?
","?
","?
","?
","?
"
"VEDIT
","Yes
","Yes
","No
","No[125]
","No
","No
","Yes
","Yes
","Yes
"
"vi
","Yes
","No
","No
","Yes
","No
","No
","No
","No
","No
"
"Vim
","Partial
","Plug-in[126]
","Partial|[127]
","Yes[128]
","Partial[129]
","No
","No
","No
","Plug-in[130]
"
"Visual Studio Code
","Yes
","No
","Yes
","Plug-in[131]
","Plug-in[132]
","No
","No
","No
","No
"
"XEmacs
","Yes
","Yes
","Yes
","Yes
","Yes
","Partial[112]
","Yes[133]
","Yes[114]
","Yes[114]
"
"Yi
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","No
","No
"
"
","Dynamically customizable
","IBM CUA
","macOS
","Vi
","Emacs
","Pico
","WordStar
","WordPerfect
","Brief
"
